Mg-glutamate,K-glutamate,Amino acid,Spermidine,Creatine Phosphate,NTP,GFP11_Col-E1,GFP1-10,PEG-8000,Yield1,Yield2,Yield3
20.0,80.0,600.0,100.0,560.0,40.0,80.0,1020.0,460.0,0.061775783460381,0.0446378692040151,0.0317168549854931
80.0,900.0,620.0,120.0,660.0,120.0,260.0,460.0,320.0,0.206285703988034,0.0693986412210989,0.225532068263322
80.0,860.0,920.0,60.0,440.0,0.0,100.0,960.0,1140.0,0.230830224721126,0.1855796435458,0.24261591969869
80.0,180.0,500.0,20.0,360.0,80.0,560.0,520.0,500.0,0.339063992359121,0.559748427672956,0.28938025986196
40.0,460.0,980.0,80.0,460.0,0.0,40.0,840.0,1200.0,0.135247157196663,0.123731776324089,0.186552774323764
0.0,840.0,20.0,80.0,260.0,40.0,680.0,220.0,1080.0,0.0351228127083671,0.123569587861095,0.0781027554017769
60.0,300.0,320.0,40.0,480.0,60.0,380.0,1140.0,20.0,0.135084968733669,0.233479302950028,0.206772269377016
80.0,940.0,900.0,120.0,60.0,100.0,20.0,120.0,880.0,0.0959975491521148,0.212935430970788,0.173523634463246
60.0,100.0,1060.0,100.0,120.0,40.0,260.0,1240.0,320.0,0.117947054477303,0.24964408642843,0.19422969490548
80.0,800.0,1060.0,120.0,640.0,20.0,860.0,840.0,680.0,0.0245805626137572,0.0256077562127192,0.0277702690526392
80.0,60.0,720.0,0.0,120.0,40.0,40.0,780.0,900.0,0.159683552287758,0.211205420698852,0.187958407669712
60.0,960.0,1100.0,0.0,740.0,20.0,180.0,80.0,780.0,0.00933484709232128,0.0405831576291651,0.0173902074210232
80.0,660.0,620.0,140.0,840.0,80.0,820.0,280.0,180.0,0.0232289920888072,0.0960516119731128,0.0120379881422213
60.0,480.0,420.0,40.0,400.0,20.0,660.0,720.0,880.0,0.0813465246616568,0.0682633219801409,0.058045448811519
40.0,680.0,500.0,60.0,940.0,20.0,120.0,480.0,520.0,0.0055504496224613,0.00711827143140329,0.00760483682038529
80.0,380.0,280.0,0.0,100.0,100.0,60.0,1240.0,120.0,0.486817682146654,0.160332306139734,0.272945162278568
0.0,180.0,1060.0,80.0,840.0,0.0,520.0,160.0,300.0,0.000901047016633332,0.00100917265862933,-0.000937088897298657
20.0,820.0,640.0,40.0,260.0,80.0,600.0,640.0,320.0,0.965111459515958,0.539204555693716,1.07945432592673
0.0,980.0,160.0,60.0,480.0,100.0,780.0,860.0,1320.0,0.647708637436701,1.22937052855418,1.37815141194068
60.0,360.0,780.0,80.0,220.0,40.0,480.0,900.0,20.0,0.481195148762862,0.2180173361446,0.406426267322629
40.0,980.0,800.0,140.0,520.0,80.0,420.0,120.0,1240.0,0.149573804761132,0.339874934674091,0.301922834333496
20.0,480.0,0.0,140.0,160.0,120.0,840.0,960.0,1300.0,0.142275323926402,0.106810113351715,0.173631760105242
40.0,460.0,1000.0,60.0,600.0,20.0,220.0,1180.0,1060.0,0.0889153196013768,0.0300949703555532,0.0454488115189851
40.0,160.0,1000.0,80.0,160.0,80.0,820.0,620.0,1020.0,0.782919752752699,0.804490818330901,1.49941431943919
80.0,680.0,760.0,20.0,0.0,20.0,840.0,1180.0,1260.0,0.347227478329819,0.426321385449893,0.448162765133085
60.0,420.0,760.0,20.0,200.0,20.0,500.0,660.0,160.0,0.1477356688472,0.0962138004361068,0.121731451947163
0.0,660.0,620.0,140.0,100.0,100.0,540.0,960.0,480.0,1.3613378746103,2.04690850768593,2.53185201203799
60.0,140.0,420.0,80.0,420.0,80.0,840.0,280.0,460.0,0.234019931160008,0.363932890018201,0.21720639382963
60.0,800.0,880.0,60.0,40.0,80.0,860.0,1120.0,880.0,1.84411886612243,1.87942188823413,1.12935430970788
80.0,200.0,740.0,20.0,120.0,140.0,120.0,800.0,580.0,0.756266782000685,0.945540718314682,0.860229586779838
40.0,740.0,140.0,120.0,180.0,60.0,100.0,1000.0,840.0,1.09215908886126,0.547368041664414,0.657439945216341
0.0,480.0,880.0,120.0,280.0,0.0,40.0,660.0,1060.0,0.179686796057018,0.107188553098701,0.147789731668198
20.0,540.0,60.0,140.0,580.0,20.0,260.0,620.0,1240.0,0.339820871853093,0.124650844281055,0.223910183633382
80.0,60.0,460.0,20.0,540.0,20.0,180.0,420.0,280.0,0.120001441675227,0.0974572453190607,0.109188877475627
0.0,940.0,1100.0,0.0,240.0,20.0,840.0,400.0,1000.0,0.139139680308519,0.134598403344687,0.157791353552828
40.0,160.0,580.0,120.0,840.0,140.0,820.0,1200.0,180.0,0.0164170766430592,0.0103079778702853,0.0158764484330792
0.0,580.0,460.0,120.0,500.0,120.0,160.0,760.0,900.0,1.13984249698149,0.983006253266296,1.28305490980519
40.0,840.0,840.0,100.0,60.0,100.0,840.0,800.0,1300.0,1.35187688093565,0.814168063289542,2.71961218936404
20.0,20.0,1080.0,40.0,60.0,40.0,740.0,1080.0,960.0,0.30641004847633,0.281865527743238,0.252293164657332
60.0,440.0,520.0,140.0,180.0,40.0,380.0,520.0,260.0,0.22477518876935,0.277702690526392,0.377502658088699
80.0,560.0,400.0,40.0,140.0,120.0,460.0,1000.0,500.0,1.10253915049287,1.75232019606783,2.31111351390316
80.0,940.0,440.0,60.0,580.0,0.0,640.0,1140.0,640.0,0.223531743886396,0.217260456650628,0.178443351174064
0.0,940.0,260.0,60.0,880.0,120.0,520.0,1140.0,220.0,0.0357715665603431,0.0399884665981871,0.00722639707339929
40.0,920.0,980.0,60.0,100.0,60.0,320.0,960.0,300.0,0.923915589915482,1.13995062262349,1.07712962462381
60.0,900.0,560.0,0.0,160.0,60.0,360.0,820.0,940.0,1.16649546773351,1.77670252833793,1.79324575156332
20.0,840.0,420.0,60.0,840.0,0.0,520.0,1240.0,440.0,0.111405453136545,0.120866446811195,0.136058099511633
80.0,560.0,1020.0,60.0,40.0,120.0,220.0,340.0,480.0,0.781081616838767,0.177308031933106,0.86233803679876
60.0,380.0,960.0,20.0,440.0,40.0,680.0,420.0,200.0,0.0961597376151088,0.0836712259645708,0.333549584617325
20.0,540.0,240.0,120.0,560.0,20.0,660.0,860.0,160.0,0.063127353985331,0.048854769241859,0.0838874772485628
20.0,980.0,1040.0,0.0,260.0,40.0,840.0,600.0,1080.0,0.256564127516174,0.418914778973167,0.606188390910238
80.0,20.0,220.0,0.0,300.0,80.0,700.0,220.0,1140.0,0.476599808978032,0.55774810329603,0.434052368852607
60.0,200.0,480.0,120.0,300.0,120.0,100.0,300.0,1100.0,0.942729451622786,0.274837361013498,0.353012200176605
60.0,660.0,1020.0,100.0,540.0,40.0,0.0,120.0,1140.0,0.0134976843091673,0.0058748265484493,0.00782108810437729
60.0,400.0,60.0,0.0,420.0,120.0,740.0,920.0,100.0,0.192013119244562,0.289164008577968,0.117136112162333
52.5,770.0,875.0,105.0,625.0,102.5,857.5,1237.5,1050.0,1.43107891369772,1.37966517092862,0.189255915373664
52.5,770.0,875.0,105.0,625.0,102.5,0.0,0.0,1050.0,0.00322574831954732,0.00273918293056532,-0.00596493125011263
