Mg-glutamate,K-glutamate,Amino acid,Spermidine,Creatine Phosphate,NTP,GFP11_Col-E1,GFP1-10,PEG-8000,Yield1,Yield2,Yield3,Yield4,Yield5,Yield6
80.0,720,580,20,280,120.0,500.0,640.0,1260,2.217738928,1.433959057,1.727114305,2.189126976,1.303094555,2.523089434
80.0,680,220,40,320,100.0,220.0,1020.0,860,2.453670271,1.997286181,1.743530999,0.8241961419,1.782462016,1.440525735
40.0,200,560,140,40,100.0,680.0,1160.0,1040,0.09717112749,0.07840919164,0.1454831123,0.1051449502,0.083568724,0.09294969192
40.0,500,940,60,340,140.0,620.0,740.0,800,1.913326518,1.841093065,1.903476502,1.624392706,0.5221289746,1.759478644
20.0,920,380,120,600,140.0,380.0,1220.0,1020,0.685826865,0.3907954236,0.3316953257,0.4128406983,0.3326334225,1.046525082
40.0,320,120,20,180,120.0,120.0,980.0,780,0.7735389151,0.7735389151,1.176920536,0.8326390131,0.7683793828,0.9606892253
80.0,700,720,100,340,100.0,780.0,1020.0,960,2.579375241,1.662385626,2.096724441,3.392236112,2.926471055,2.947578233
20.0,580,360,80,220,120.0,840.0,1080.0,300,2.036217198,1.551690205,1.584992641,2.241660396,1.062003679,1.844376404
60.0,80,1020,140,60,100.0,700.0,980.0,820,0.1285973701,0.2430451788,0.1769093549,0.3668739554,0.2219380009,0.3945478108
80.0,900,460,20,280,140.0,800.0,660.0,340,0.6239124767,1.558725931,1.217258698,1.820923984,1.461163864,2.18209125
80.0,640,1100,20,600,140.0,300.0,920.0,800,0.8598438201,0.7388293338,0.6492410901,0.5136861035,0.4372312149,0.3542096487
20.0,740,1060,60,80,60.0,800.0,820.0,940,1.101872793,0.9968059518,1.019789323,1.437242396,1.272606409,2.2988843
40.0,340,800,40,20,80.0,300.0,860.0,1280,0.4864812965,0.4311335857,0.4391074085,0.5596528464,0.2786928569,0.1914498552
20.0,680,560,100,200,100.0,560.0,820.0,360,1.247277796,1.207408682,1.063879873,1.29277549,1.471951977,1.440994783
80.0,400,220,120,40,120.0,300.0,860.0,720,0.7238197851,0.54980283,0.6412672673,0.6994292685,0.6220362831,0.6745697035
40.0,920,640,80,120,80.0,20.0,1060.0,400,0.160492661,0.1276592733,0.1389164348,0.1365711928,0.1858212744,0.2041141619
80.0,620,640,80,660,120.0,80.0,1160.0,1320,0.4301954889,0.5104027647,0.5422980557,0.4785074738,0.4400455053,0.5132170551
40.0,460,760,60,340,140.0,300.0,780.0,900,0.3504572616,1.726645257,1.612197448,1.747752434,1.408630444,1.721954773
80.0,920,100,80,180,60.0,700.0,1100.0,1320,0.6614363484,1.367354185,1.177389584,1.272606409,1.273544506,1.027294098
60.0,920,400,100,100,40.0,700.0,1140.0,1240,0.425505005,0.9850797419,1.156282407,1.667545159,1.440994783,1.137051422
20.0,720,1020,20,80,60.0,80.0,1080.0,580,0.4583383927,0.8134080288,0.3968930528,0.4344169245,0.4151859403,0.7228816883
60.0,420,20,60,360,120.0,340.0,920.0,1060,0.742581721,0.76040556,1.032922678,1.05872034,0.8926772078,1.018851226
